No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
22,C.J. Anderson,26,RB,16,16,225,5-8,"Laney,California",2/10/1991,4,7,,DEN,2017,2025-08-15 13:56:48
50,Zaire Anderson,25,LB,16,2,220,5-11,Nebraska,8/18/1992,1,3,,DEN,2017,2025-08-15 13:56:48
73,Allen Barbre,33,T,16,4,310,6-4,Missouri Southern,6/22/1984,10,3,Green Bay Packers / 4th / 119th pick /2007,DEN,2017,2025-08-15 13:56:48
48,Shaquil Barrett,25,LOLB,16,9,250,6-2,"Nebraska-Omaha,Colorado St.",11/17/1992,2,5,,DEN,2017,2025-08-15 13:56:48
72,Garett Bolles,25,LT,16,16,300,6-5,"Snow College (UT),Utah",5/27/1992,Rook,6,Denver Broncos / 1st / 20th pick /2017,DEN,2017,2025-08-15 13:56:48
23,Devontae Booker,25,RB,13,0,219,5-11,Utah,5/27/1992,1,3,Denver Broncos / 4th / 136th pick /2016,DEN,2017,2025-08-15 13:56:48
20,Jamal Carter,23,DB,16,0,215,6-1,Miami (FL),4/12/1994,Rook,1,,DEN,2017,2025-08-15 13:56:48
28,Jamaal Charles,31,RB,14,0,199,5-11,Texas,12/27/1986,9,2,Kansas City Chiefs / 3rd / 73rd pick /2008,DEN,2017,2025-08-15 13:56:48
51,Todd Davis,25,RILB,14,14,230,6-1,Sacramento St.,5/17/1992,3,6,,DEN,2017,2025-08-15 13:56:48
83,A.J. Derby,26,TE,9,1,240,6-5,Arkansas,9/20/1991,1,2,New England Patriots / 6th / 202nd pick /2015,DEN,2017,2025-08-15 13:56:48
9,Riley Dixon,24,P,16,0,221,6-4,Syracuse,8/24/1993,1,2,Denver Broncos / 7th / 228th pick /2016,DEN,2017,2025-08-15 13:56:48
37,Lorenzo Doss,23,DB,3,0,185,5-11,Tulane,4/20/1994,2,0,Denver Broncos / 5th / 164th pick /2015,DEN,2017,2025-08-15 13:56:48
91,Kasim Edebali,28,DE,9,0,253,6-2,Boston Col.,8/17/1989,3,1,,DEN,2017,2025-08-15 13:56:48
