No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
70,Jeff Adams,25,T,2,0,305,6-5,Columbia,9/6/1989,Rook,0,,HTX,2014,2025-08-15 15:06:54
91,Jason Ankrah,23,LB,2,0,262,6-3,Nebraska,2/28/1991,Rook,0,,HTX,2014,2025-08-15 15:06:54
37,Josh Aubrey,23,DB,2,0,200,5-10,S.F. Austin,4/9/1991,1,0,,HTX,2014,2025-08-15 15:06:54
28,Alfred Blue,23,RB,16,3,225,6-2,LSU,4/27/1991,Rook,4,Houston Texans / 6th / 181st pick /2014,HTX,2014,2025-08-15 15:06:54
34,A.J. Bouye,23,LCB,14,6,191,6-0,Central Florida,8/16/1991,1,4,,HTX,2014,2025-08-15 15:06:54
79,Brandon Brooks,25,RG,15,15,335,6-5,Miami (OH),8/19/1989,2,7,Houston Texans / 3rd / 76th pick /2012,HTX,2014,2025-08-15 15:06:54
76,Duane Brown,29,LT,16,16,329,6-4,Virginia Tech,8/30/1985,6,10,Houston Texans / 1st / 26th pick /2008,HTX,2014,2025-08-15 15:06:54
22,Ronnie Brown,33,RB,3,0,223,6-0,Auburn,12/12/1981,9,0,Miami Dolphins / 1st / 2nd pick /2005,HTX,2014,2025-08-15 15:06:54
98,Keith Browner,26,DE,3,0,276,6-4,California,4/7/1988,Rook,0,,HTX,2014,2025-08-15 15:06:54
4,Randy Bullock,25,K,16,0,210,5-9,Texas A&M,12/16/1989,1,3,Houston Texans / 5th / 161st pick /2012,HTX,2014,2025-08-15 15:06:54
53,Max Bullough,22,LB,1,0,249,6-4,Michigan St.,2/11/1992,Rook,0,,HTX,2014,2025-08-15 15:06:54
74,Tyson Clabo,33,T,16,0,315,6-6,Wake Forest,10/17/1981,8,1,,HTX,2014,2025-08-15 15:06:54
90,Jadeveon Clowney,21,LB,4,2,266,6-5,South Carolina,2/14/1993,Rook,1,Houston Texans / 1st / 1st pick /2014,HTX,2014,2025-08-15 15:06:54
93,Jared Crick,25,RLB,16,15,285,6-4,Nebraska,8/21/1989,2,8,Houston Texans / 4th / 126th pick /2012,HTX,2014,2025-08-15 15:06:54
56,Brian Cushing,27,LILB,14,14,255,6-3,USC,1/24/1987,5,7,Houston Texans / 1st / 15th pick /2009,HTX,2014,2025-08-15 15:06:54
81,Anthony Denham,23,TE,4,0,235,6-4,Utah,7/21/1991,Rook,0,,HTX,2014,2025-08-15 15:06:54
50,Akeem Dent,27,RILB,15,7,242,6-1,Georgia,9/27/1987,3,4,Atlanta Falcons / 3rd / 91st pick /2011,HTX,2014,2025-08-15 15:06:54
91,Zach Diles,29,LB,1,0,240,6-0,Kansas St.,6/11/1985,7,0,Houston Texans / 7th / 218th pick /2007,HTX,2014,2025-08-15 15:06:54
87,C.J. Fiedorowicz,23,TE,15,8,265,6-5,Iowa,10/22/1991,Rook,0,Houston Texans / 3rd / 65th pick /2014,HTX,2014,2025-08-15 15:06:54
14,Ryan Fitzpatrick,32,QB,12,12,221,6-2,Harvard,11/24/1982,9,8,St. Louis Rams / 7th / 250th pick /2005,HTX,2014,2025-08-15 15:06:54
23,Arian Foster,28,RB,13,13,227,6-1,Tennessee,8/24/1986,5,10,,HTX,2014,2025-08-15 15:06:54
88,Garrett Graham,28,TE,11,9,245,6-3,Wisconsin,8/4/1986,4,2,Houston Texans / 4th / 118th pick /2010,HTX,2014,2025-08-15 15:06:54
84,Ryan Griffin,24,TE,16,2,255,6-6,Connecticut,1/11/1990,1,1,Houston Texans / 6th / 201st pick /2013,HTX,2014,2025-08-15 15:06:54
41,Jonathan Grimes,25,RB,16,0,207,5-10,William & Mary,12/21/1989,2,2,,HTX,2014,2025-08-15 15:06:54
29,Andre Hal,22,DB,14,0,184,5-10,Vanderbilt,5/30/1992,Rook,1,Houston Texans / 7th / 216th pick /2014,HTX,2014,2025-08-15 15:06:54
10,DeAndre Hopkins,22,WR,16,16,210,6-1,Clemson,6/6/1992,1,10,Houston Texans / 1st / 27th pick /2013,HTX,2014,2025-08-15 15:06:54
25,Kareem Jackson,26,LCB,13,13,196,5-10,Alabama,4/10/1988,4,5,Houston Texans / 1st / 20th pick /2010,HTX,2014,2025-08-15 15:06:54
96,Tim Jamison,28,DE,13,1,263,6-3,Michigan,2/26/1986,5,2,,HTX,2014,2025-08-15 15:06:54
80,Andre Johnson,33,WR,15,15,229,6-3,Miami (FL),7/11/1981,11,8,Houston Texans / 1st / 3rd pick /2003,HTX,2014,2025-08-15 15:06:54
13,Damaris Johnson,25,WR,16,8,175,5-8,Tulsa,11/22/1989,2,3,,HTX,2014,2025-08-15 15:06:54
60,Ben Jones,25,LG,16,16,308,6-3,Georgia,7/2/1989,2,8,Houston Texans / 4th / 99th pick /2012,HTX,2014,2025-08-15 15:06:54
24,Johnathan Joseph,30,RCB,16,16,186,5-11,South Carolina,4/16/1984,8,7,Cincinnati Bengals / 1st / 24th pick /2006,HTX,2014,2025-08-15 15:06:54
7,Case Keenum,26,QB,2,2,220,6-1,Houston,2/17/1988,1,1,,HTX,2014,2025-08-15 15:06:54
9,Shane Lechler,38,P,16,0,230,6-2,Texas A&M,8/7/1976,14,3,Oakland Raiders / 5th / 142nd pick /2000,HTX,2014,2025-08-15 15:06:54
21,Kendrick Lewis,26,FS,16,16,205,6-0,Mississippi,6/16/1988,4,7,Kansas City Chiefs / 5th / 136th pick /2010,HTX,2014,2025-08-15 15:06:54
43,Elbert Mack,28,WR,8,0,175,5-10,"Butler (KS),Troy",7/14/1986,6,0,,HTX,2014,2025-08-15 15:06:54
15,Ryan Mallett,26,QB,3,2,240,6-6,"Michigan,Arkansas",6/5/1988,2,1,New England Patriots / 3rd / 74th pick /2011,HTX,2014,2025-08-15 15:06:54
38,Danieal Manning,32,SS,16,5,212,5-11,Abilene Christian,8/9/1982,8,3,Chicago Bears / 2nd / 42nd pick /2006,HTX,2014,2025-08-15 15:06:54
82,Keshawn Martin,24,WR,16,0,190,5-10,Michigan St.,3/15/1990,2,1,Houston Texans / 4th / 121st pick /2012,HTX,2014,2025-08-15 15:06:54
59,Whitney Mercilus,24,ROLB,15,13,258,6-4,Illinois,7/21/1990,2,7,Houston Texans / 1st / 26th pick /2012,HTX,2014,2025-08-15 15:06:54
54,Mike Mohamed,26,LB,14,2,238,6-2,California,3/11/1988,3,3,Denver Broncos / 6th / 189th pick /2011,HTX,2014,2025-08-15 15:06:54
26,Darryl Morris,24,DB,11,1,188,5-10,Texas St.,9/4/1990,1,1,,HTX,2014,2025-08-15 15:06:54
55,Chris Myers,33,C,16,16,286,6-4,Miami (FL),9/15/1981,9,8,Denver Broncos / 6th / 200th pick /2005,HTX,2014,2025-08-15 15:06:54
75,Derek Newton,27,RT,16,16,315,6-6,"Hinds CC,Arkansas St.",11/16/1987,3,8,Houston Texans / 7th / 214th pick /2011,HTX,2014,2025-08-15 15:06:54
97,Jeoffrey Pagan,21,DE,16,0,310,6-4,Alabama,6/10/1993,Rook,1,Houston Texans / 6th / 177th pick /2014,HTX,2014,2025-08-15 15:06:54
94,Ryan Pickett,35,MLB,13,13,338,6-2,Ohio St.,10/8/1979,13,6,St. Louis Rams / 1st / 29th pick /2001,HTX,2014,2025-08-15 15:06:54
35,Eddie Pleasant,26,DB,14,0,210,5-10,Oregon,12/17/1988,2,1,,HTX,2014,2025-08-15 15:06:54
11,DeVier Posey,24,WR,1,1,214,6-1,Ohio St.,3/15/1990,2,0,Houston Texans / 3rd / 68th pick /2012,HTX,2014,2025-08-15 15:06:54
95,Jerrell Powe,27,DT,16,3,330,6-2,Mississippi,3/15/1987,3,3,Kansas City Chiefs / 6th / 199th pick /2011,HTX,2014,2025-08-15 15:06:54
45,Jay Prosch,22,RB,16,5,255,6-1,Auburn,8/21/1992,Rook,0,Houston Texans / 6th / 211th pick /2014,HTX,2014,2025-08-15 15:06:54
58,Brooks Reed,27,LOLB,16,13,254,6-3,Arizona,2/28/1987,3,7,Houston Texans / 2nd / 42nd pick /2011,HTX,2014,2025-08-15 15:06:54
20,Jumal Rolle,24,DB,10,0,188,6-0,Catawba,5/28/1990,Rook,1,,HTX,2014,2025-08-15 15:06:54
91,Ricky Sapp,28,LB,3,0,244,6-4,Clemson,11/14/1986,2,0,Philadelphia Eagles / 5th / 134th pick /2010,HTX,2014,2025-08-15 15:06:54
3,Tom Savage,24,QB,2,0,230,6-4,"Pittsburgh,Rutgers",4/26/1990,Rook,0,Houston Texans / 4th / 135th pick /2014,HTX,2014,2025-08-15 15:06:54
51,John Simon,24,LB,11,0,260,6-2,Ohio St.,10/14/1990,1,1,Baltimore Ravens / 4th / 129th pick /2013,HTX,2014,2025-08-15 15:06:54
71,Xavier Su'a-Filo,23,G,13,1,312,6-4,UCLA,1/1/1991,Rook,1,Houston Texans / 2nd / 33rd pick /2014,HTX,2014,2025-08-15 15:06:54
