No.,Player,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Team,Year,Scraped_Date
76,Branden Albert,26,LT,15,15,314,6-5,Virginia,11/4/1984,2,6,Kansas City Chiefs / 1st / 15th pick /2008,KAN,2010,2025-08-15 14:06:06
52,Charlie Anderson,29,LB,2,0,250,6-4,Mississippi,12/8/1981,6,0,Houston Texans / 6th / 200th pick /2004,KAN,2010,2025-08-15 14:06:06
21,Javier Arenas,23,DB,16,2,195,5-9,Alabama,10/28/1987,Rook,2,Kansas City Chiefs / 2nd / 50th pick /2010,KAN,2010,2025-08-15 14:06:06
73,Jon Asamoah,22,G,15,1,304,6-4,Illinois,7/21/1988,Rook,1,Kansas City Chiefs / 3rd / 68th pick /2010,KAN,2010,2025-08-15 14:06:06
41,Jackie Bates,24,DB,2,1,180,5-10,Hampton,10/12/1986,Rook,0,,KAN,2010,2025-08-15 14:06:06
26,Jackie Battle,27,RB,16,0,238,6-2,Houston,10/1/1983,3,0,,KAN,2010,2025-08-15 14:06:06
59,Jovan Belcher,23,LILB,16,15,228,6-2,Maine,7/24/1987,1,7,,KAN,2010,2025-08-15 14:06:06
29,Eric Berry,22,SS,16,16,212,6-0,Tennessee,12/29/1988,Rook,11,Kansas City Chiefs / 1st / 5th pick /2010,KAN,2010,2025-08-15 14:06:06
82,Dwayne Bowe,26,WR,16,16,221,6-2,LSU,9/21/1984,3,13,Kansas City Chiefs / 1st / 23rd pick /2007,KAN,2010,2025-08-15 14:06:06
39,Brandon Carr,24,RCB,16,16,210,6-0,Grand Valley St.,5/19/1986,2,7,Kansas City Chiefs / 5th / 140th pick /2008,KAN,2010,2025-08-15 14:06:06
7,Matt Cassel,28,QB,15,15,225,6-4,USC,5/17/1982,5,13,New England Patriots / 7th / 230th pick /2005,KAN,2010,2025-08-15 14:06:06
46,Tim Castille,26,RB,10,4,242,5-11,Alabama,5/29/1984,2,0,,KAN,2010,2025-08-15 14:06:06
84,Chris Chambers,32,WR,13,7,210,5-11,Wisconsin,8/12/1978,9,2,Miami Dolphins / 2nd / 52nd pick /2001,KAN,2010,2025-08-15 14:06:06
25,Jamaal Charles,24,RB,16,6,199,5-11,Texas,12/27/1986,2,17,Kansas City Chiefs / 3rd / 73rd pick /2008,KAN,2010,2025-08-15 14:06:06
2,Dustin Colquitt,28,P,16,0,210,6-3,Tennessee,5/6/1982,5,2,Kansas City Chiefs / 3rd / 99th pick /2005,KAN,2010,2025-08-15 14:06:06
10,Terrance Copper,28,WR,16,3,207,6-0,East Carolina,3/12/1982,6,2,,KAN,2010,2025-08-15 14:06:06
42,Mike Cox,25,RB,7,2,259,6-0,Georgia Tech,7/11/1985,2,0,,KAN,2010,2025-08-15 14:06:06
12,Brodie Croyle,27,QB,2,1,206,6-2,Alabama,2/6/1983,4,0,Kansas City Chiefs / 3rd / 85th pick /2006,KAN,2010,2025-08-15 14:06:06
17,Kevin Curtis,32,WR,0,0,186,6-0,"Snow College (UT),Utah St.",7/17/1978,7,,St. Louis Rams / 3rd / 74th pick /2003,KAN,2010,2025-08-15 14:06:06
34,Travis Daniels,28,DB,16,0,195,6-1,LSU,9/8/1982,5,1,Miami Dolphins / 4th / 104th pick /2005,KAN,2010,2025-08-15 14:06:06
72,Glenn Dorsey,25,RDE,16,16,316,6-2,LSU,8/1/1985,2,9,Kansas City Chiefs / 1st / 5th pick /2008,KAN,2010,2025-08-15 14:06:06
95,Ron Edwards,31,NT,16,15,325,6-3,Texas A&M,7/12/1979,9,7,Buffalo Bills / 3rd / 76th pick /2001,KAN,2010,2025-08-15 14:06:06
24,Brandon Flowers,24,LCB,15,15,190,5-10,Virginia Tech,2/18/1986,2,7,Kansas City Chiefs / 2nd / 35th pick /2008,KAN,2010,2025-08-15 14:06:06
43,Thomas Gafford,27,LB,16,0,250,6-2,Houston,1/29/1983,2,3,,KAN,2010,2025-08-15 14:06:06
92,Wallace Gilberry,26,DE,16,2,267,6-3,Alabama,12/5/1984,2,4,,KAN,2010,2025-08-15 14:06:06
93,Cory Greenwood,25,LB,16,0,235,6-2,Concordia (QB),6/5/1985,Rook,1,,KAN,2010,2025-08-15 14:06:06
91,Tamba Hali,27,ROLB,16,16,275,6-3,Penn St.,11/3/1983,4,9,Kansas City Chiefs / 1st / 20th pick /2006,KAN,2010,2025-08-15 14:06:06
11,Jeremy Horne,24,WR,3,0,193,6-2,Massachusetts,10/25/1986,Rook,0,,KAN,2010,2025-08-15 14:06:06
94,Tyson Jackson,24,DE,12,3,295,6-4,LSU,6/6/1986,1,3,Kansas City Chiefs / 1st / 3rd pick /2009,KAN,2010,2025-08-15 14:06:06
56,Derrick Johnson,28,RILB,16,16,242,6-3,Texas,11/22/1982,5,9,Kansas City Chiefs / 1st / 15th pick /2005,KAN,2010,2025-08-15 14:06:06
20,Thomas Jones,32,RB,16,10,212,5-10,Virginia,8/19/1978,10,7,Arizona Cardinals / 1st / 7th pick /2000,KAN,2010,2025-08-15 14:06:06
48,Reshard Langford,24,DB,6,0,212,6-2,Vanderbilt,2/6/1986,Rook,0,,KAN,2010,2025-08-15 14:06:06
23,Kendrick Lewis,22,FS,12,10,205,6-0,Mississippi,6/16/1988,Rook,5,Kansas City Chiefs / 5th / 136th pick /2010,KAN,2010,2025-08-15 14:06:06
65,Ryan Lilja,29,RG,15,15,290,6-2,"Coffeyville CC,Kansas St.",10/15/1981,6,6,,KAN,2010,2025-08-15 14:06:06
71,Alex Magee,23,DT,2,0,295,6-2,Purdue,4/28/1987,1,0,Kansas City Chiefs / 3rd / 67th pick /2009,KAN,2010,2025-08-15 14:06:06
51,Corey Mays,27,LB,14,0,245,6-1,Notre Dame,11/27/1983,4,1,,KAN,2010,2025-08-15 14:06:06
22,Dexter McCluster,21,WR,11,7,165,5-9,Mississippi,8/25/1989,Rook,4,Kansas City Chiefs / 2nd / 36th pick /2010,KAN,2010,2025-08-15 14:06:06
47,Jon McGraw,31,FS,12,5,208,6-3,Kansas St.,4/2/1979,8,3,New York Jets / 2nd / 57th pick /2002,KAN,2010,2025-08-15 14:06:06
81,Tony Moeaki,23,TE,15,15,250,6-4,Iowa,6/8/1987,Rook,6,Kansas City Chiefs / 3rd / 93rd pick /2010,KAN,2010,2025-08-15 14:06:06
64,Rudy Niswanger,28,C,10,0,301,6-5,LSU,11/9/1982,4,1,,KAN,2010,2025-08-15 14:06:06
75,Ryan O'Callaghan,27,T,11,1,330,6-7,California,7/19/1983,4,1,New England Patriots / 5th / 136th pick /2006,KAN,2010,2025-08-15 14:06:06
85,Jake O'Connell,25,TE,15,2,255,6-4,Miami (OH),11/6/1985,1,0,Kansas City Chiefs / 7th / 237th pick /2009,KAN,2010,2025-08-15 14:06:06
4,Tyler Palko,27,QB,2,0,215,6-1,Pittsburgh,8/9/1983,1,0,,KAN,2010,2025-08-15 14:06:06
45,Leonard Pope,27,TE,16,6,264,6-8,Georgia,9/10/1983,4,1,Arizona Cardinals / 3rd / 72nd pick /2006,KAN,2010,2025-08-15 14:06:06
35,Ricky Price,23,DB,7,0,195,6-1,Oklahoma St.,9/16/1987,1,0,,KAN,2010,2025-08-15 14:06:06
67,Barry Richardson,24,RT,16,16,330,6-6,Clemson,5/15/1986,2,7,Kansas City Chiefs / 6th / 170th pick /2008,KAN,2010,2025-08-15 14:06:06
99,Mark Simoneau,33,LB,1,0,245,6-0,Kansas St.,1/16/1977,10,0,Atlanta Falcons / 3rd / 67th pick /2000,KAN,2010,2025-08-15 14:06:06
90,Shaun Smith,29,LDE,16,10,325,6-2,"Butler (KS),South Carolina",8/19/1981,6,6,,KAN,2010,2025-08-15 14:06:06
96,Andy Studebaker,25,LB,16,0,251,6-3,Wheaton,9/16/1985,2,2,Philadelphia Eagles / 6th / 203rd pick /2008,KAN,2010,2025-08-15 14:06:06
6,Ryan Succop,24,K,16,0,218,6-2,South Carolina,9/19/1986,1,2,Kansas City Chiefs / 7th / 256th pick /2009,KAN,2010,2025-08-15 14:06:06
98,Anthony Toribio,25,DT,5,0,305,6-1,Carson-Newman,3/1/1985,1,0,,KAN,2010,2025-08-15 14:06:06
15,Verran Tucker,22,WR,11,2,202,6-2,California,6/26/1988,Rook,1,,KAN,2010,2025-08-15 14:06:06
50,Mike Vrabel,35,LOLB,16,16,261,6-4,Ohio St.,8/14/1975,13,7,Pittsburgh Steelers / 3rd / 91st pick /1997,KAN,2010,2025-08-15 14:06:06
27,Donald Washington,24,DB,12,2,194,6-0,Ohio St.,7/28/1986,1,2,Kansas City Chiefs / 4th / 102nd pick /2009,KAN,2010,2025-08-15 14:06:06
54,Brian Waters,33,LG,16,16,320,6-3,North Texas,2/18/1977,10,9,,KAN,2010,2025-08-15 14:06:06
62,Casey Wiegmann,37,C,16,16,285,6-2,Iowa,7/20/1973,13,7,,KAN,2010,2025-08-15 14:06:06
53,Demorrio Williams,30,LB,16,0,235,6-1,"Kilgore College,Nebraska",7/6/1980,6,1,Atlanta Falcons / 4th / 101st pick /2004,KAN,2010,2025-08-15 14:06:06
