Rank,Team,PFR_Team,Record,PlayersActive,Avg AgeTeam,Total CapAllocations,Cap SpaceAll,Active53-Man,ReservesIR/PUP/NFI/SUSP,DeadCap
1,JAXJAX,jax,-,65,26.2,90618988,60756012,83637656,2998667,3691965
2,TBTB,tam,-,53,25.0,87734299,56140701,81455451,-,6181948
3,KCKC,kan,-,52,26.1,104478066,39906934,102911884,750000,622382
4,DENDEN,den,-,57,26.1,109429914,36945086,95632160,-,13797754
5,SEASEA,sea,-,66,26.0,109313402,32161598,88541574,-,20623628
6,DALDAL,dal,-,55,26.4,107076393,30438607,90321660,-,16657833
7,BUFBUF,buf,-,50,26.3,109501667,30163333,70042948,26395428,13063291
8,CINCIN,cin,-,56,26.1,108789165,26585835,100319460,3388236,4790769
9,CLECLE,cle,-,50,26.5,105417718,23937282,97444298,2250000,5529620
10,SFSF,sfo,-,65,26.2,115371935,21503065,107177164,-,8000971
11,CHICHI,chi,-,58,26.1,108187493,19927507,100826630,-,7360863
12,NONO,nor,-,47,26.3,107727714,16867286,99762948,228000,7736766
13,TENTEN,ten,-,59,25.9,113611327,14873673,107874324,-,5737003
14,STLSTL,stlstl,-,59,26.5,109918844,13956156,106735081,812378,2080685
15,OAKOAK,rai,-,52,26.4,110663062,12711938,105625393,4111529,829240
16,NENE,nwe,-,66,26.7,115253675,11781325,105061299,875000,8407702
17,GBGB,gnb,-,60,25.8,116059559,9515441,112648083,-,3217676
18,WASWAS,was,-,66,26.6,126049398,7825602,100868212,8023038,17158148
19,BALBAL,bal,-,53,26.9,120452189,5722811,106996060,8810982,3966847
20,PHIPHI,phi,-,63,26.0,125772322,5502678,118267572,525000,6495250
21,ARIARI,crd,-,58,27.4,118509697,3865303,111028866,2610442,4781989
22,NYJNYJ,nyj,-,64,26.2,124983441,3591559,114337718,-,10645723
23,SDSD,sdsd,-,56,26.6,117120555,3254445,105636496,9146666,2143593
24,INDIND,clt,-,59,26.4,120760609,2114391,114200303,3527352,2936054
25,CARCAR,car,-,66,25.7,121912984,1262016,116797431,1776000,3339553
26,DETDET,det,-,59,26.9,122454221,-779221,120575367,575000,1303854
27,MINMIN,min,-,58,26.2,123853123,-1528123,111603701,9039666,2822156
28,HOUHOU,hou,-,57,26.3,122139328,-1764328,112947071,3097470,5997887
29,NYGNYG,nyg,-,66,26.5,125052985,-3617985,121753387,288000,3011598
30,MIAMIA,mia,-,62,26.5,133065091,-3790091,113691396,-,18889195
31,ATLATL,atl,-,53,27.3,126208186,-5833186,116684491,5033886,4119309
32,PITPIT,pit,-,70,26.6,128561003,-7680003,116070403,9143858,3346742
