PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total CapAllocations_Pct,Cap SpaceAll_Pct,DeadCap_Pct,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,Total CapAllocations_Pct,Cap SpaceAll_Pct,Active53-Man_Pct,ReservesIR/PUP/NFI/SUSP_Pct,DeadCap_Pct,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
car,CARCAR,261363792,-862719,73242553,102.34,-0.34,28.68,261363792,14.64,15.03,32.94,19.16,69.83,151.6,24.28,26.47,52.58,103.33,2.55,2.73,1.15,6.43,261.36,102.34,-0.34,57.81,15.25,28.68,5.6,5.75,12.6,7.33,26.72,9.29,10.13,20.12,0.98,1.04,0.44,58.0,39.53,2.46,2024,2025-08-15 15:16:57,CAR,32,5-12-0,52,27.2,147641087,38954652
sdg,LACLAC,259842566,3935185,60901604,101.74,1.54,23.85,259842566,21.92,5.76,39.9,7.57,33.0,108.15,12.34,69.32,61.6,143.26,2.39,2.51,1.46,6.36,259.84,101.74,1.54,71.83,5.09,23.85,8.44,2.22,15.36,2.91,12.7,4.75,26.68,23.71,0.92,0.97,0.56,41.62,55.13,2.45,2024,2025-08-15 15:16:57,LAC,24,11-6-0,53,26.6,183462767,13004795
cin,CINCIN,259321826,6093862,13021226,101.54,2.39,5.1,259321826,31.04,9.76,37.12,10.92,49.44,138.27999999999997,64.8,21.17,30.43,116.4,2.63,1.02,0.99,4.64,259.32,101.54,2.39,72.73,22.73,5.1,11.97,3.76,14.31,4.21,19.07,24.99,8.16,11.73,1.01,0.39,0.38,53.32,44.89,1.79,2024,2025-08-15 15:16:57,CIN,21,9-8-0,52,25.6,185741962,58054838
nyj,NYJNYJ,258488437,2592821,62318333,101.21,1.02,24.4,258488437,29.24,6.13,29.75,14.94,45.81,125.87,58.15,24.33,44.09,126.57,2.5,2.05,1.39,5.94,258.49,101.21,1.02,61.39,14.54,24.4,11.31,2.37,11.51,5.78,17.72,22.5,9.41,17.06,0.97,0.79,0.54,48.69,48.97,2.3,2024,2025-08-15 15:16:57,NYJ,27,5-12-0,53,26.9,156802254,37125650
nyg,NYGNYG,258028276,2373826,82466975,101.03,0.93,32.29,258028276,54.87,6.02,21.86,6.76,50.96,140.47,37.0,44.05,24.56,105.61,7.77,2.67,1.15,11.59,258.03,101.03,0.93,45.48,22.66,32.29,21.27,2.33,8.47,2.62,19.75,14.34,17.07,9.52,3.01,1.03,0.45,54.44,40.93,4.49,2024,2025-08-15 15:16:57,NYG,28,3-14-0,53,26.3,116152706,57877195
crd,ARIARI,257687094,12815867,32162678,100.9,5.02,12.59,257687094,50.55,16.24,17.2,8.73,48.75,141.47,35.82,21.55,50.01,107.38,5.6,1.84,1.64,9.08,257.92,100.9,5.02,64.56,22.95,12.59,19.62,6.3,6.67,3.39,18.92,13.9,8.36,19.41,2.17,0.71,0.64,54.9,41.67,3.52,2024,2025-08-15 15:16:57,ARI,12,8-9-0,53,26.0,164898640,58612976
buf,BUFBUF,256067245,552172,75053004,100.26,0.22,29.39,256067245,33.49,4.96,45.34,12.18,37.59,133.56,46.82,24.43,41.19,112.44,4.57,2.07,1.21,7.85,256.07,100.26,0.22,68.56,1.25,29.39,13.08,1.94,17.71,4.76,14.68,18.28,9.54,16.09,1.78,0.81,0.47,52.16,43.91,3.07,2024,2025-08-15 15:16:57,BUF,31,13-4-0,53,26.9,175108383,3205258
nor,NONO,255445276,2952943,62187730,100.02,1.16,24.35,255445276,18.16,23.33,25.26,18.31,54.91,139.97,44.77,19.45,46.79,111.01,1.14,0.8,1.41,3.35,255.45,100.02,1.16,57.34,17.52,24.35,7.11,9.13,9.89,7.17,21.5,17.53,7.61,18.32,0.45,0.31,0.55,54.79,43.46,1.31,2024,2025-08-15 15:16:57,NO,26,5-12-0,53,26.7,146456092,44743154
chi,CHICHI,254719369,5419854,30383725,99.73,2.12,11.9,254719369,11.6,10.52,39.25,19.98,40.16,121.51,47.28,37.72,39.49,124.49,4.26,1.02,2.27,7.549999999999999,254.72,99.73,2.12,80.25,6.65,11.9,4.55,4.13,15.41,7.84,15.77,18.56,14.81,15.5,1.67,0.4,0.89,47.7,48.87,2.96,2024,2025-08-15 15:16:57,CHI,23,5-12-0,53,26.5,204948258,16982678
ram,LARLAR,254604834,3097450,35854750,99.69,1.21,14.04,254604834,50.19,4.18,40.09,18.98,68.66,182.1,32.62,14.44,22.62,69.67999999999999,0.87,1.03,0.92,2.82,254.6,99.69,1.21,82.01,2.6,14.04,19.71,1.64,15.75,7.45,26.97,12.81,5.67,8.88,0.34,0.4,0.36,71.52,27.37,1.11,2024,2025-08-15 15:16:57,LAR,25,10-7-0,53,25.9,209446790,6632094
htx,HOUHOU,253606601,5762155,41631992,99.3,2.26,16.3,253606601,15.2,9.99,32.04,15.4,53.53,126.16,59.78,15.06,42.54,117.38,4.4,2.23,1.15,7.780000000000001,253.61,99.3,2.26,70.84,11.17,16.3,5.99,3.94,12.63,6.07,21.11,23.57,5.94,16.77,1.73,0.88,0.45,49.75,46.28,3.07,2024,2025-08-15 15:16:57,HOU,22,10-7-0,53,26.8,180926822,28526987
sea,SEASEA,253363041,8131185,58377484,99.2,3.18,22.86,253363041,27.97,5.47,42.74,16.15,24.03,116.36,38.62,27.64,59.25,125.51,5.51,3.92,0.92,10.35,253.36,99.2,3.18,66.94,8.75,22.86,11.04,2.16,16.87,6.37,9.48,15.24,10.91,23.39,2.17,1.55,0.36,45.93,49.54,4.09,2024,2025-08-15 15:16:57,SEA,18,10-7-0,52,26.1,170968666,22353591
atl,ATLATL,253133425,6888021,14860766,99.11,2.7,5.82,253133425,33.43,10.95,20.02,16.95,55.88,137.23,38.74,29.07,38.11,105.92,5.53,3.0,0.99,9.52,253.13,99.11,2.7,86.08,6.3,5.82,13.21,4.33,7.91,6.7,22.08,15.3,11.48,15.06,2.18,1.19,0.39,54.21,41.84,3.76,2024,2025-08-15 15:16:57,ATL,19,8-9-0,53,27.2,219836480,16084779
min,MINMIN,252563267,10173975,70382084,98.89,3.98,27.56,252563267,40.86,10.63,18.33,16.61,50.18,136.61,23.02,40.04,45.88,108.94,1.06,0.99,1.7,3.75,252.56,98.89,3.98,64.38,6.01,27.56,16.18,4.21,7.26,6.58,19.87,9.11,15.85,18.17,0.42,0.39,0.67,54.09,43.13,1.48,2024,2025-08-15 15:16:57,MIN,14,14-3-0,52,27.3,164432512,15353571
den,DENDEN,252139493,6100773,89083362,98.72,2.39,34.88,252139493,66.11,7.43,20.92,7.37,45.61,147.44,32.6,30.88,32.83,96.31,4.09,2.04,0.99,7.12,252.14,98.72,2.39,58.94,3.8,34.88,26.22,2.95,8.3,2.92,18.09,12.93,12.25,13.02,1.62,0.81,0.39,58.48,38.2,2.82,2024,2025-08-15 15:16:57,DEN,20,10-7-0,52,26.1,150535729,9699102
