PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,OFF,DEF,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
sfo,SFSF,199312951,33935479,27399690,199312951,40.72,9.1,20.26,8.28,38.31,116.67,23.07,24.09,26.93,74.09,2.25,0.75,1.05,4.05,199.31,20.43,4.57,10.16,4.15,19.22,11.57,12.09,13.51,1.13,0.38,0.53,58.54,37.17,2.03,100.0,2018,2025-08-15 15:19:08,SF,119.25M,74.09M,3,4-12-0,54,25.4,99114405,72798856
jax,JAXJAX,198533685,6435054,20737620,198533685,11.12,15.94,17.83,7.63,28.26,80.78,57.68,12.56,43.78,114.02,0.83,0.75,1.27,2.85,198.53,5.6,8.03,8.98,3.84,14.23,29.05,6.33,22.05,0.42,0.38,0.64,40.69,57.43,1.44,100.0,2018,2025-08-15 15:19:08,JAX,80.26M,113.84M,14,5-11-0,53,25.6,140722671,36989794
min,MINMIN,196608422,-5679219,7110150,196608422,26.47,8.44,18.39,10.08,26.9,90.28,44.57,19.05,38.78,102.4,2.08,0.56,0.93,3.5700000000000003,196.61,13.46,4.29,9.35,5.13,13.68,22.67,9.69,19.72,1.06,0.28,0.47,45.92,52.08,1.82,100.0,2018,2025-08-15 15:19:08,MIN,89.14M,101.97M,32,8-7-1,53,26.1,179040838,10457434
tam,TBTB,189900886,2494782,11163023,189900886,12.64,4.55,35.04,10.96,26.32,89.51,53.88,15.04,23.26,92.18,4.58,3.0,0.63,8.21,189.9,6.66,2.4,18.45,5.77,13.86,28.37,7.92,12.25,2.41,1.58,0.33,47.14,48.54,4.32,100.0,2018,2025-08-15 15:19:08,TB,88.61M,92.16M,28,5-11-0,53,26.0,157768609,20969254
car,CARCAR,184474977,-2874661,12641881,184474977,22.38,9.99,14.8,9.43,37.56,94.16,43.44,18.03,21.92,83.39,3.69,1.53,1.06,6.2799999999999985,184.47,12.13,5.42,8.02,5.11,20.36,23.55,9.77,11.88,2.0,0.83,0.57,51.04,45.2,3.4,100.0,2018,2025-08-15 15:19:08,CAR,94.82M,83.38M,31,7-9-0,53,26.9,138090418,33742678
cle,CLECLE,181948164,54164796,25921273,181948164,25.84,7.65,26.73,6.83,38.38,105.43,18.42,22.84,30.68,71.94,0.51,2.55,0.71,3.77,181.95,14.2,4.2,14.69,3.75,21.09,10.12,12.55,16.86,0.28,1.4,0.39,57.95,39.54,2.07,100.0,2018,2025-08-15 15:19:08,CLE,105.56M,71.51M,1,7-8-1,53,25.4,142452164,13574727
den,DENDEN,181619996,5788205,26980844,181619996,19.15,2.12,22.59,3.02,36.01,82.89,20.93,35.35,35.57,91.85,3.5,2.08,0.63,6.21,181.62,10.54,1.17,12.44,1.66,19.83,11.52,19.46,19.58,1.93,1.15,0.35,45.64,50.57,3.42,100.0,2018,2025-08-15 15:19:08,DEN,82.82M,91.16M,20,6-10-0,53,25.7,114730854,39904965
cin,CINCIN,180326765,8456694,9127166,180326765,17.87,6.56,23.8,9.27,27.36,84.86,39.31,19.03,31.71,90.05000000000003,1.5,2.3,1.13,4.93,180.33,9.91,3.64,13.2,5.14,15.17,21.8,10.55,17.58,0.83,1.28,0.63,47.06,49.94,2.73,100.0,2018,2025-08-15 15:19:08,CIN,85.34M,89.89M,11,6-10-0,53,25.6,112195970,59003629
ram,LARLAR,179876692,1637802,16825476,179876692,8.86,9.04,19.45,2.81,31.05,71.21,42.44,23.18,35.16,100.78,3.76,2.68,1.35,7.789999999999999,179.88,4.93,5.03,10.81,1.56,17.26,23.59,12.89,19.55,2.09,1.49,0.75,39.59,56.03,4.33,100.0,2018,2025-08-15 15:19:08,LAR,70.33M,100.78M,29,13-3-0,53,25.9,158606483,4444733
buf,BUFBUF,179596576,9186883,70343254,179596576,15.29,12.95,17.37,10.4,35.34,91.35,46.81,10.93,23.39,81.13,3.0,1.51,0.56,5.07,179.6,8.51,7.21,9.67,5.79,19.68,26.06,6.09,13.02,1.67,0.84,0.31,50.86,45.17,2.82,100.0,2018,2025-08-15 15:19:08,BUF,92.81M,80.88M,10,6-10-0,53,26.4,104008378,5244944
