PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
car,CARCAR,232771942,5379990,62169404,232771942,9.41,23.42,37.64,8.31,39.55,118.33,27.7,43.36,36.9,107.96,2.25,2.15,1.16,5.5600000000000005,232.77,4.04,10.06,16.17,3.57,16.99,11.9,18.63,15.85,0.97,0.92,0.5,50.84,46.38,2.39,100.0,2023,2025-08-15 15:17:21,CAR,19,2-15-0,53,26.9,136455085,32384753
phi,PHIPHI,232187112,2566558,63868823,232187112,8.9,5.45,22.66,9.45,60.58,107.04,64.8,16.96,37.62,119.38,3.38,1.17,1.22,5.77,232.19,3.83,2.35,9.76,4.07,26.09,27.91,7.3,16.2,1.46,0.5,0.53,46.1,51.42,2.49,100.0,2023,2025-08-15 15:17:21,PHI,27,11-6-0,53,26.6,160037713,5816176
den,DENDEN,231774113,1129738,33296145,231774113,25.29,7.42,37.07,7.0,42.38,119.16,29.49,34.41,42.35,106.25,2.93,1.47,0.87,5.2700000000000005,231.77,10.91,3.2,15.99,3.02,18.29,12.72,14.85,18.27,1.26,0.63,0.38,51.41,45.84,2.27,100.0,2023,2025-08-15 15:17:21,DEN,29,8-9-0,53,26.3,173358141,22447627
buf,BUFBUF,228637476,-792453,10167412,228637476,20.18,8.92,26.47,10.97,40.74,107.28,45.08,14.27,54.65,114.0,2.08,2.18,1.08,5.34,228.64,8.83,3.9,11.58,4.8,17.82,19.72,6.24,23.9,0.91,0.95,0.47,46.92,49.86,2.34,100.0,2023,2025-08-15 15:17:21,BUF,32,11-6-0,53,27.0,182016009,33210155
chi,CHICHI,227512044,4926812,36737468,227512044,9.91,7.83,29.57,12.5,42.28,102.09,56.27,27.91,31.91,116.09,5.12,0.89,1.11,7.12,227.51,4.36,3.44,13.0,5.49,18.58,24.73,12.27,14.03,2.25,0.39,0.49,44.87,51.03,3.13,100.0,2023,2025-08-15 15:17:21,CHI,20,7-10-0,52,26.1,171087200,17112076
pit,PITPIT,226300540,2926605,21164554,226300540,10.31,7.0,26.25,3.76,44.57,91.89,41.12,48.56,36.28,125.96,5.64,1.11,0.94,7.689999999999999,226.3,4.56,3.09,11.6,1.66,19.7,18.17,21.46,16.03,2.49,0.49,0.42,40.61,55.66,3.4,100.0,2023,2025-08-15 15:17:21,PIT,25,10-7-0,54,26.4,194442075,8498611
mia,MIAMIA,223975605,1735990,20351028,223975605,13.32,9.2,34.55,6.7,40.51,104.28,35.49,36.28,40.28,112.05,2.45,1.09,1.2,4.74,223.98,5.95,4.11,15.43,2.99,18.09,15.85,16.2,17.98,1.09,0.49,0.54,46.56,50.03,2.12,100.0,2023,2025-08-15 15:17:21,MIA,28,11-6-0,53,27.1,172821528,28317349
clt,INDIND,223873320,8299055,51418290,223873320,30.31,11.62,12.56,9.5,52.31,116.3,45.05,31.02,24.1,100.17,3.08,2.9,1.42,7.4,223.87,13.54,5.19,5.61,4.24,23.37,20.12,13.86,10.77,1.38,1.3,0.63,51.95,44.74,3.31,100.0,2023,2025-08-15 15:17:21,IND,12,9-8-0,52,25.7,150648067,19681463
tam,TBTB,223680759,3752054,81574757,223680759,39.04,9.58,44.04,7.62,32.58,132.86,25.68,40.93,20.19,86.8,1.74,1.04,1.24,4.0200000000000005,223.68,17.45,4.28,19.69,3.41,14.57,11.48,18.3,9.03,0.78,0.46,0.55,59.4,38.81,1.8,100.0,2023,2025-08-15 15:17:21,TB,23,9-8-0,53,25.9,128436935,11012667
rai,LVLV,223471769,11529499,57853191,223471769,14.42,22.66,36.87,7.16,40.75,121.86,51.69,18.53,21.38,91.6,4.31,2.55,1.44,8.299999999999999,223.47,6.45,10.14,16.5,3.2,18.23,23.13,8.29,9.57,1.93,1.14,0.64,54.53,40.99,3.71,100.0,2023,2025-08-15 15:17:21,LV,4,8-9-0,52,26.9,155882148,7623130
