PFR_Team,Team_cap,Total CapAllocations,Cap SpaceAll,DeadCap,Total_Cap_For_Calc,QB,RB,WR,TE,OL,Off,DL,LB,SEC,Def,K,P,LS,SPT,Total,QB_Pct,RB_Pct,WR_Pct,TE_Pct,OL_Pct,DL_Pct,LB_Pct,SEC_Pct,K_Pct,P_Pct,LS_Pct,Off_Pct,Def_Pct,SPT_Pct,Total_Pct,Year,Scraped_Date,Team_pos,Rank,Record,PlayersActive,Avg AgeTeam,Active53-Man,ReservesIR/PUP/NFI/SUSP
kan,KCKC,136631412,1468615,19028711,136631412,15.97,6.78,11.89,5.91,24.54,65.09,17.9,22.02,27.15,67.07,1.47,1.85,0.57,3.89,136.63,11.69,4.96,8.7,4.33,17.96,13.1,16.12,19.87,1.08,1.35,0.42,47.64,49.09,2.85,100.0,2013,2025-08-15 15:18:22,KC,27,-,52,25.9,114803016,2597567
sea,SEASEA,133734928,4073197,8377388,133734928,5.59,10.89,18.14,12.85,28.45,75.92,34.91,5.75,13.63,54.29,0.62,1.41,0.77,2.8,133.73,4.18,8.14,13.56,9.61,21.27,26.1,4.3,10.19,0.46,1.05,0.58,56.77,40.6,2.09,100.0,2013,2025-08-15 15:18:22,SEA,18,-,54,25.9,101503464,23494782
den,DENDEN,133459603,7405388,11515356,133459603,18.84,5.58,9.54,8.02,27.95,69.93,12.34,20.54,24.19,57.06999999999999,3.31,2.0,0.66,5.9700000000000015,133.46,14.12,4.18,7.15,6.01,20.94,9.25,15.39,18.13,2.48,1.5,0.49,52.4,42.76,4.47,100.0,2013,2025-08-15 15:18:22,DEN,12,-,54,27.0,97160491,24747756
clt,INDIND,129046015,-3531741,10847687,129046015,8.56,7.36,13.28,2.86,23.68,55.74,15.31,25.87,24.31,65.49,3.4,2.98,0.48,6.8599999999999985,129.05,6.63,5.7,10.29,2.22,18.35,11.86,20.05,18.84,2.63,2.31,0.37,43.19,50.75,5.32,100.0,2013,2025-08-15 15:18:22,IND,32,-,53,26.7,98729480,18665904
min,MINMIN,128947738,1949746,3642189,128947738,9.27,15.55,11.56,4.65,20.62,61.65000000000001,37.3,13.39,11.89,62.58,0.51,0.45,1.05,2.01,128.95,7.19,12.06,8.96,3.61,15.99,28.93,10.38,9.22,0.4,0.35,0.81,47.81,48.53,1.56,100.0,2013,2025-08-15 15:18:22,MIN,23,-,54,26.1,117391509,7107396
chi,CHICHI,128429835,1583420,6199751,128429835,11.37,10.17,19.41,4.58,11.66,57.19,29.3,14.54,20.1,63.94000000000001,3.53,1.73,1.11,6.37,128.43,8.85,7.92,15.11,3.57,9.08,22.81,11.32,15.65,2.75,1.35,0.86,44.53,49.79,4.96,100.0,2013,2025-08-15 15:18:22,CHI,26,-,56,27.2,103159959,19028125
tam,TBTB,127714333,7597389,14407084,127714333,10.9,4.38,15.45,2.54,26.23,59.5,20.68,9.22,29.6,59.5,3.93,3.25,0.56,7.74,127.71,8.53,3.43,12.1,1.99,20.54,16.19,7.22,23.18,3.08,2.54,0.44,46.59,46.59,6.06,100.0,2013,2025-08-15 15:18:22,TB,10,-,51,26.0,91995376,21097643
nyg,NYGNYG,127517255,-2825971,8805805,127517255,22.16,7.87,9.09,3.0,22.89,65.01,20.85,13.04,24.05,57.94,0.62,1.83,1.05,3.5,127.52,17.38,6.17,7.13,2.35,17.95,16.35,10.23,18.86,0.49,1.44,0.82,50.98,45.44,2.74,100.0,2013,2025-08-15 15:18:22,NYG,31,-,55,26.7,92701902,25637548
cin,CINCIN,127056245,7974686,8131422,127056245,2.76,5.94,9.4,4.42,24.19,46.71000000000001,39.83,10.13,23.24,73.2,1.6,2.78,1.34,5.72,127.06,2.17,4.68,7.4,3.48,19.04,31.35,7.97,18.29,1.26,2.19,1.05,36.76,57.61,4.5,100.0,2013,2025-08-15 15:18:22,CIN,9,-,52,26.4,92938874,25979949
phi,PHIPHI,126997784,20416885,12059097,126997784,13.53,6.36,19.41,5.9,27.08,72.28,13.03,17.02,18.32,48.37,0.66,0.63,1.04,2.33,127.0,10.65,5.01,15.28,4.65,21.32,10.26,13.4,14.43,0.52,0.5,0.82,56.91,38.09,1.83,100.0,2013,2025-08-15 15:18:22,PHI,3,-,53,26.1,108049086,6646601
